著者名,count
Albert Einstein,10
J.K. Rowling,9
Marilyn Monroe,7
Dr. Seuss,6
Mark Twain,6
C.S. Lewis,5
Jane Austen,5
Bob Marley,3
Eleanor Roosevelt,2
Charles Bukowski,2
Suzanne Collins,2
George R.R. Martin,2
Ralph Waldo Emerson,2
Mother Teresa,2
Ernest Hemingway,2
J.D. Salinger,1
George Bernard Shaw,1
J.R.R. Tolkien,1
Alfred Tennyson,1
Terry Pratchett,1
John Lennon,1
George Carlin,1
W.C. Fields,1
Ayn Rand,1
Jimi Hendrix,1
J.M. Barrie,1
E.E. Cummings,1
Khaled Hosseini,1
Harper Lee,1
Helen Keller,1
Haruki Murakami,1
Stephenie Meyer,1
Garrison Keillor,1
Thomas A. Edison,1
Douglas Adams,1
Elie Wiesel,1
Friedrich Nietzsche,1
André Gide,1
Allen Saunders,1
Pablo Neruda,1
Jim Henson,1
Alexandre Dumas fils,1
Charles M. Schulz,1
William Nicholson,1
Jorge Luis Borges,1
George Eliot,1
Martin Luther King Jr.,1
James Baldwin,1
Steve Martin,1
Madeleine L'Engle,1
