[2026-01-12 17:40:55,687][[ERROR][1ページの取得に失敗しました...]
[2026-01-12 17:41:01,550][[ERROR][2ページの取得に失敗しました...]
[2026-01-12 17:41:06,484][[ERROR][3ページの取得に失敗しました...]
[2026-01-12 17:42:10,834][[ERROR][1の物件1.[京王線 芦花公園駅 4階建 築2年]のデータ取得に失敗しました]
[2026-01-12 17:42:10,868][[ERROR][1の物件2.[ソルナクレイシア学芸大学]のデータ取得に失敗しました]
[2026-01-12 17:42:10,899][[ERROR][1の物件3.[東急大井町線 上野毛駅 3階建 築18年]のデータ取得に失敗しました]
[2026-01-12 17:42:10,929][[ERROR][1の物件4.[アリビオ桜新町]のデータ取得に失敗しました]
[2026-01-12 17:42:10,959][[ERROR][1の物件5.[下馬５丁目２世帯住宅１部分]のデータ取得に失敗しました]
[2026-01-12 17:42:10,988][[ERROR][1の物件6.[Arubu Shimokitazawa]のデータ取得に失敗しました]
[2026-01-12 17:42:11,020][[ERROR][1の物件7.[アンビエンテ経堂]のデータ取得に失敗しました]
[2026-01-12 17:42:11,052][[ERROR][1の物件8.[カーサベリーニ松原]のデータ取得に失敗しました]
[2026-01-12 17:42:11,084][[ERROR][1の物件9.[ミモザテラス]のデータ取得に失敗しました]
[2026-01-12 17:42:11,114][[ERROR][1の物件10.[TENAS千歳船橋]のデータ取得に失敗しました]
[2026-01-12 17:42:11,146][[ERROR][1の物件11.[ウェルスクエア祖師ヶ谷大蔵]のデータ取得に失敗しました]
[2026-01-12 17:42:11,178][[ERROR][1の物件12.[東急田園都市線 二子玉川駅 3階建 築9年]のデータ取得に失敗しました]
[2026-01-12 17:42:11,209][[ERROR][1の物件13.[ＧＲＡＮ ＰＡＳＥＯ三宿]のデータ取得に失敗しました]
[2026-01-12 17:42:11,241][[ERROR][1の物件14.[第８島田マンション]のデータ取得に失敗しました]
[2026-01-12 17:42:11,272][[ERROR][1の物件15.[マイ・ピヌス]のデータ取得に失敗しました]
[2026-01-12 17:42:11,304][[ERROR][1の物件16.[メゾンドマシマ]のデータ取得に失敗しました]
[2026-01-12 17:42:11,349][[ERROR][1の物件17.[小田急線 下北沢駅 2階建 築12年]のデータ取得に失敗しました]
[2026-01-12 17:42:11,377][[ERROR][1の物件18.[ＯＴＴＯ　ＦＬＡＴＳ]のデータ取得に失敗しました]
[2026-01-12 17:42:11,412][[ERROR][1の物件19.[GARDEN COURT]のデータ取得に失敗しました]
[2026-01-12 17:42:11,443][[ERROR][1の物件20.[東急田園都市線 三軒茶屋駅 3階建 築14年]のデータ取得に失敗しました]
[2026-01-12 17:42:11,475][[ERROR][1の物件21.[京王線 千歳烏山駅 3階建 築7年]のデータ取得に失敗しました]
[2026-01-12 17:42:11,506][[ERROR][1の物件22.[PASEO芦花公園]のデータ取得に失敗しました]
[2026-01-12 17:42:11,537][[ERROR][1の物件23.[Little forest KAMIKITAZAWA]のデータ取得に失敗しました]
